使用页数量,平均每次访问用时/ns
1,-1.0694041915893564
2,0.7977952340841288
4,0.9007631913876528
8,0.817482173578739
16,0.8381396150612828
32,0.8475603072237967
64,1.662000867317915
128,3.044318392239809
256,1.730762928802967
512,1.8774924633753298
1024,2.132277718566656
2048,2.321935325424671
4096,9.688253364528418
8192,20.74358830943108
